日時,ファイル名,移動先フォルダ,ステータス
2026-06-28 10:21:12,振り分け元,未該当,成功(ドロップ)
2026-06-28 10:22:51,振り分け元,Undo戻し,成功
2026-06-28 11:55:14,実験.txt,未該当,成功(ドロップ)
2026-06-28 11:57:26,情報実験.txt,未該当,成功(ドロップ)
2026-06-28 11:57:30,情報実験.txt,Undo戻し,成功
2026-06-28 11:58:22,情報実験.txt,未該当,成功(ドロップ)
2026-06-28 12:01:37,実験1.txt,未該当,成功(ドロップ)
2026-06-28 12:01:48,実験1.txt,Undo戻し,成功
2026-06-28 12:02:09,振り分け元,未該当,成功(ドロップ)
2026-06-28 12:02:15,振り分け元,Undo戻し,成功
2026-06-28 12:02:25,実験1.txt,未該当,成功(ドロップ)
2026-06-28 12:06:40,2026.12年度_請求書.docx,請求書,成功(ドロップ)
2026-06-28 12:06:55,実験_1.txt,未該当,成功(ドロップ)
